month,countries,value,country_code
1961-01,Malaysia,na,458
1961-01,Indonesia,1687,360
1961-01,Thailand,1172,764
1961-01,Philippines,139,608
1961-01,Vietnam,na,704
1961-01,China,na,156
1961-01,Hong Kong,941,344
1961-01,Japan,104,392
1961-01,United Kingdom,858,826
1961-01,France,na,250
1961-01,Germany,na,276
1961-02,Malaysia,na,458
1961-02,Indonesia,1671,360
1961-02,Thailand,1172,764
1961-02,Philippines,139,608
1961-02,Vietnam,na,704
1961-02,China,na,156
1961-02,Hong Kong,991,344
1961-02,Japan,127,392
1961-02,United Kingdom,427,826
1961-02,France,na,250
1961-02,Germany,na,276
1961-03,Malaysia,na,458
1961-03,Indonesia,1960,360
1961-03,Thailand,1414,764
1961-03,Philippines,307,608
1961-03,Vietnam,na,704
1961-03,China,na,156
1961-03,Hong Kong,1074,344
1961-03,Japan,150,392
1961-03,United Kingdom,425,826
1961-03,France,na,250
1961-03,Germany,na,276
1961-04,Malaysia,na,458
1961-04,Indonesia,2107,360
1961-04,Thailand,1393,764
1961-04,Philippines,439,608
1961-04,Vietnam,na,704
1961-04,China,na,156
1961-04,Hong Kong,1222,344
1961-04,Japan,110,392
1961-04,United Kingdom,390,826
1961-04,France,na,250
1961-04,Germany,na,276
1961-05,Malaysia,na,458
1961-05,Indonesia,1707,360
1961-05,Thailand,1325,764
1961-05,Philippines,390,608
1961-05,Vietnam,na,704
1961-05,China,na,156
1961-05,Hong Kong,1361,344
1961-05,Japan,127,392
1961-05,United Kingdom,399,826
1961-05,France,na,250
1961-05,Germany,na,276
1961-06,Malaysia,na,458
1961-06,Indonesia,1767,360
1961-06,Thailand,1065,764
1961-06,Philippines,197,608
1961-06,Vietnam,na,704
1961-06,China,na,156
1961-06,Hong Kong,1240,344
1961-06,Japan,154,392
1961-06,United Kingdom,720,826
1961-06,France,na,250
1961-06,Germany,na,276
1961-07,Malaysia,na,458
1961-07,Indonesia,2098,360
1961-07,Thailand,1337,764
1961-07,Philippines,249,608
1961-07,Vietnam,na,704
1961-07,China,na,156
1961-07,Hong Kong,1305,344
1961-07,Japan,141,392
1961-07,United Kingdom,1594,826
1961-07,France,na,250
1961-07,Germany,na,276
1961-08,Malaysia,na,458
1961-08,Indonesia,1857,360
1961-08,Thailand,1141,764
1961-08,Philippines,313,608
1961-08,Vietnam,na,704
1961-08,China,na,156
1961-08,Hong Kong,1225,344
1961-08,Japan,126,392
1961-08,United Kingdom,1099,826
1961-08,France,na,250
1961-08,Germany,na,276
1961-09,Malaysia,na,458
