month,countries,value,country_code
1961-01,Malaysia,na,458
1961-01,Indonesia,1878,360
1961-01,Thailand,919,764
1961-01,Philippines,122,608
1961-01,Vietnam,na,704
1961-01,China,na,156
1961-01,Hong Kong,881,344
1961-01,Japan,71,392
1961-01,United Kingdom,455,826
1961-01,France,na,250
1961-01,Germany,na,276
1961-02,Malaysia,na,458
1961-02,Indonesia,1458,360
1961-02,Thailand,1083,764
1961-02,Philippines,141,608
1961-02,Vietnam,na,704
1961-02,China,na,156
1961-02,Hong Kong,1008,344
1961-02,Japan,121,392
1961-02,United Kingdom,367,826
1961-02,France,na,250
1961-02,Germany,na,276
1961-03,Malaysia,na,458
1961-03,Indonesia,1671,360
1961-03,Thailand,1850,764
1961-03,Philippines,195,608
1961-03,Vietnam,na,704
1961-03,China,na,156
1961-03,Hong Kong,1459,344
1961-03,Japan,88,392
1961-03,United Kingdom,441,826
1961-03,France,na,250
1961-03,Germany,na,276
1961-04,Malaysia,na,458
1961-04,Indonesia,1841,360
1961-04,Thailand,1836,764
1961-04,Philippines,233,608
1961-04,Vietnam,na,704
1961-04,China,na,156
1961-04,Hong Kong,1489,344
1961-04,Japan,284,392
1961-04,United Kingdom,621,826
1961-04,France,na,250
1961-04,Germany,na,276
1961-05,Malaysia,na,458
1961-05,Indonesia,1601,360
1961-05,Thailand,1619,764
1961-05,Philippines,257,608
1961-05,Vietnam,na,704
1961-05,China,na,156
1961-05,Hong Kong,1261,344
1961-05,Japan,115,392
1961-05,United Kingdom,492,826
1961-05,France,na,250
1961-05,Germany,na,276
1961-06,Malaysia,na,458
1961-06,Indonesia,1517,360
1961-06,Thailand,1165,764
1961-06,Philippines,165,608
1961-06,Vietnam,na,704
1961-06,China,na,156
1961-06,Hong Kong,1018,344
1961-06,Japan,94,392
1961-06,United Kingdom,535,826
1961-06,France,na,250
1961-06,Germany,na,276
1961-07,Malaysia,na,458
1961-07,Indonesia,1966,360
1961-07,Thailand,1470,764
1961-07,Philippines,144,608
1961-07,Vietnam,na,704
1961-07,China,na,156
1961-07,Hong Kong,1112,344
1961-07,Japan,86,392
1961-07,United Kingdom,550,826
1961-07,France,na,250
1961-07,Germany,na,276
1961-08,Malaysia,na,458
1961-08,Indonesia,1991,360
1961-08,Thailand,1293,764
1961-08,Philippines,296,608
1961-08,Vietnam,na,704
1961-08,China,na,156
1961-08,Hong Kong,1235,344
1961-08,Japan,88,392
1961-08,United Kingdom,586,826
1961-08,France,na,250
1961-08,Germany,na,276
1961-09,Malaysia,na,458
1961-09,Indonesia,1484,360
1961-09,Thailand,1333,764
1961-09,Philippines,177,608
1961-09,Vietnam,na,704
1961-09,China,na,156
1961-09,Hong Kong,1447,344
1961-09,Japan,100,392
1961-09,United Kingdom,1570,826
1961-09,France,na,250
1961-09,Germany,na,276
1961-10,Malaysia,na,458
1961-10,Indonesia,1805,360
1961-10,Thailand,1681,764
1961-10,Philippines,306,608
1961-10,Vietnam,na,704
1961-10,China,na,156
1961-10,Hong Kong,1436,344
1961-10,Japan,191,392
1961-10,United Kingdom,417,826
1961-10,France,na,250
1961-10,Germany,na,276
1961-11,Malaysia,na,458
1961-11,Indonesia,1838,360
1961-11,Thailand,1645,764
1961-11,Philippines,269,608
1961-11,Vietnam,na,704
1961-11,China,na,156
1961-11,Hong Kong,1566,344
1961-11,Japan,158,392
1961-11,United Kingdom,442,826
1961-11,France,na,250
1961-11,Germany,na,276
1961-12,Malaysia,na,458
1961-12,Indonesia,2091,360
1961-12,Thailand,1374,764
1961-12,Philippines,214,608
1961-12,Vietnam,na,704
1961-12,China,na,156
1961-12,Hong Kong,1389,344
1961-12,Japan,168,392
1961-12,United Kingdom,491,826
1961-12,France,na,250
1961-12,Germany,na,276
1962-01,Malaysia,na,458
1962-01,Indonesia,1759,360
1962-01,Thailand,1227,764
1962-01,Philippines,211,608
1962-01,Vietnam,na,704
1962-01,China,na,156
1962-01,Hong Kong,934,344
1962-01,Japan,106,392
1962-01,United Kingdom,563,826
1962-01,France,na,250
1962-01,Germany,na,276
1962-02,Malaysia,na,458
1962-02,Indonesia,1553,360
1962-02,Thailand,1422,764
1962-02,Philippines,190,608
1962-02,Vietnam,na,704
1962-02,China,na,156
1962-02,Hong Kong,954,344
1962-02,Japan,108,392
1962-02,United Kingdom,349,826
1962-02,France,na,250
1962-02,Germany,na,276
1962-03,Malaysia,na,458
1962-03,Indonesia,1810,360
1962-03,Thailand,2147,764
1962-03,Philippines,321,608
1962-03,Vietnam,na,704
1962-03,China,na,156
1962-03,Hong Kong,1461,344
1962-03,Japan,241,392
1962-03,United Kingdom,454,826
1962-03,France,na,250
1962-03,Germany,na,276
1962-04,Malaysia,na,458
1962-04,Indonesia,1943,360
1962-04,Thailand,2080,764
1962-04,Philippines,259,608
1962-04,Vietnam,na,704
1962-04,China,na,156
1962-04,Hong Kong,1686,344
1962-04,Japan,285,392
1962-04,United Kingdom,627,826
1962-04,France,na,250
1962-04,Germany,na,276
